,광역시도,시도,입점수
0,강원도,강릉시,3
1,강원도,고성군,1
2,강원도,동해시,1
3,강원도,속초시,3
4,강원도,원주시,6
5,강원도,춘천시,5
6,강원도,홍천군,3
7,경기도,과천시,3
8,경기도,광명시,8
9,경기도,광주시,2
10,경기도,구리시,3
11,경기도,군포시,4
12,경기도,권선구,5
13,경기도,기흥구,10
14,경기도,김포시,8
15,경기도,남양주시,7
16,경기도,단원구,7
17,경기도,덕양구,10
18,경기도,동두천시,2
19,경기도,동안구,10
20,경기도,만안구,3
21,경기도,분당구,36
22,경기도,상록구,2
23,경기도,소사구,1
24,경기도,수정구,2
25,경기도,수지구,11
26,경기도,시흥시,5
27,경기도,안성시,2
28,경기도,양주시,4
29,경기도,양평군,1
30,경기도,여주시,3
31,경기도,영통구,11
32,경기도,오산시,3
33,경기도,원미구,12
34,경기도,의왕시,1
35,경기도,의정부시,10
36,경기도,이천시,5
37,경기도,일산동구,13
38,경기도,일산서구,9
39,경기도,장안구,3
40,경기도,중원구,2
41,경기도,처인구,3
42,경기도,파주시,5
43,경기도,팔달구,7
44,경기도,평택시,5
45,경기도,포천시,2
46,경기도,하남시,9
47,경기도,화성시,11
48,경상남도,거제시,4
49,경상남도,김해시,9
50,경상남도,마산합포구,3
51,경상남도,마산회원구,4
52,경상남도,사천시,2
53,경상남도,성산구,6
54,경상남도,양산시,7
55,경상남도,의창구,4
56,경상남도,진주시,6
57,경상남도,진해구,2
58,경상남도,통영시,1
59,경상북도,경산시,6
60,경상북도,경주시,7
61,경상북도,구미시,9
62,경상북도,김천시,2
63,경상북도,남구,7
64,경상북도,문경시,1
65,경상북도,북구,4
66,경상북도,안동시,2
67,광주광역시,광산구,11
68,광주광역시,남구,7
69,광주광역시,동구,7
70,광주광역시,북구,10
71,광주광역시,서구,14
72,대구광역시,달서구,18
73,대구광역시,달성군,2
74,대구광역시,동구,8
75,대구광역시,북구,7
76,대구광역시,서구,1
77,대구광역시,수성구,18
78,대구광역시,중구,9
79,대전광역시,대덕구,4
80,대전광역시,동구,4
81,대전광역시,서구,21
82,대전광역시,유성구,11
83,대전광역시,중구,7
84,부산광역시,강서구,2
85,부산광역시,금정구,7
86,부산광역시,기장군,3
87,부산광역시,남구,6
88,부산광역시,동구,2
89,부산광역시,동래구,7
90,부산광역시,부산진구,17
91,부산광역시,북구,2
92,부산광역시,사상구,3
93,부산광역시,사하구,7
94,부산광역시,서구,3
95,부산광역시,수영구,7
96,부산광역시,연제구,5
97,부산광역시,중구,6
98,부산광역시,해운대구,27
99,서울특별시,강남구,76
100,서울특별시,강동구,13
101,서울특별시,강북구,5
102,서울특별시,강서구,14
103,서울특별시,관악구,10
104,서울특별시,광진구,14
105,서울특별시,구로구,10
106,서울특별시,금천구,10
107,서울특별시,노원구,12
108,서울특별시,도봉구,2
109,서울특별시,동대문구,8
110,서울특별시,동작구,8
111,서울특별시,마포구,32
112,서울특별시,서대문구,21
113,서울특별시,서초구,45
114,서울특별시,성동구,9
115,서울특별시,성북구,11
116,서울특별시,송파구,29
117,서울특별시,양천구,14
118,서울특별시,영등포구,35
119,서울특별시,용산구,17
120,서울특별시,은평구,8
121,서울특별시,종로구,38
122,서울특별시,중구,50
123,서울특별시,중랑구,6
124,울산광역시,남구,13
125,울산광역시,동구,2
126,울산광역시,북구,4
127,울산광역시,울주군,1
128,울산광역시,중구,5
129,인천광역시,계양구,2
130,인천광역시,남동구,9
131,인천광역시,동구,1
132,인천광역시,미추홀구,4
133,인천광역시,부평구,9
134,인천광역시,서구,6
135,인천광역시,연수구,10
136,인천광역시,중구,7
137,전라남도,광양시,1
138,전라남도,나주시,1
139,전라남도,목포시,5
140,전라남도,무안군,1
141,전라남도,순천시,4
142,전라남도,여수시,5
143,전라북도,군산시,2
144,전라북도,덕진구,4
145,전라북도,완산구,9
146,전라북도,익산시,3
147,전라북도,정읍시,1
148,제주특별자치도,서귀포시,9
149,제주특별자치도,제주시,8
150,충청남도,계룡시,1
151,충청남도,공주시,2
152,충청남도,논산시,1
153,충청남도,당진시,2
154,충청남도,동남구,5
155,충청남도,서북구,10
156,충청남도,서산시,2
157,충청남도,아산시,4
158,충청북도,상당구,3
159,충청북도,서원구,3
160,충청북도,제천시,1
161,충청북도,청원구,3
162,충청북도,충주시,4
163,충청북도,흥덕구,6
