,광역시도,시도,입점수
0,강원도,강릉시,12
1,강원도,고성군,2
2,강원도,동해시,3
3,강원도,삼척시,2
4,강원도,속초시,7
5,강원도,양구군,1
6,강원도,양양군,1
7,강원도,영월군,1
8,강원도,원주시,17
9,강원도,인제군,2
10,강원도,정선군,1
11,강원도,철원군,3
12,강원도,춘천시,25
13,강원도,태백시,1
14,강원도,평창군,2
15,강원도,홍천군,3
16,강원도,화천군,2
17,강원도,횡성군,1
18,경기도,가평군,6
19,경기도,고양시,57
20,경기도,과천시,2
21,경기도,광명시,10
22,경기도,광주시,10
23,경기도,구리시,15
24,경기도,군포시,10
25,경기도,김포시,19
26,경기도,남양주시,39
27,경기도,동두천시,2
28,경기도,부천시,48
29,경기도,성남시,51
30,경기도,수원시,58
31,경기도,시흥시,26
32,경기도,안산시,34
33,경기도,안성시,4
34,경기도,안양시,28
35,경기도,양주시,17
36,경기도,양평군,5
37,경기도,여주시,3
38,경기도,연천군,1
39,경기도,오산시,7
40,경기도,용인시,52
41,경기도,의왕시,6
42,경기도,의정부시,34
43,경기도,이천시,10
44,경기도,파주시,19
45,경기도,평택시,15
46,경기도,포천시,9
47,경기도,하남시,19
48,경기도,화성시,35
49,경상남도,거제시,7
50,경상남도,거창군,1
51,경상남도,고성군,2
52,경상남도,김해시,31
53,경상남도,남해군,1
54,경상남도,밀양시,3
55,경상남도,사천시,4
56,경상남도,산청군,1
57,경상남도,양산시,17
58,경상남도,의령군,1
59,경상남도,진주시,21
60,경상남도,창녕군,2
61,경상남도,창원시,42
62,경상남도,통영시,3
63,경상남도,하동군,1
64,경상남도,함안군,1
65,경상남도,함양군,1
66,경상남도,합천군,2
67,경상북도,경산시,7
68,경상북도,경주시,22
69,경상북도,고령군,1
70,경상북도,구미시,11
71,경상북도,군위군,1
72,경상북도,김천시,3
73,경상북도,문경시,2
74,경상북도,봉화군,1
75,경상북도,상주시,2
76,경상북도,성주군,1
77,경상북도,안동시,6
78,경상북도,영덕군,2
79,경상북도,영양군,1
80,경상북도,영주시,4
81,경상북도,영천시,2
82,경상북도,예천군,2
83,경상북도,울릉군,1
84,경상북도,울진군,2
85,경상북도,의성군,1
86,경상북도,청도군,2
87,경상북도,청송군,1
88,경상북도,칠곡군,3
89,경상북도,포항시,16
90,광주광역시,광산구,18
91,광주광역시,남구,5
92,광주광역시,동구,4
93,광주광역시,북구,11
94,광주광역시,서구,14
95,대구광역시,남구,4
96,대구광역시,달서구,9
97,대구광역시,달성군,7
98,대구광역시,동구,7
99,대구광역시,북구,8
100,대구광역시,서구,1
101,대구광역시,수성구,8
102,대구광역시,중구,9
103,대전광역시,전체,30
104,부산광역시,강서구,9
105,부산광역시,금정구,16
106,부산광역시,기장군,9
107,부산광역시,남구,13
108,부산광역시,동구,8
109,부산광역시,동래구,22
110,부산광역시,부산진구,26
111,부산광역시,북구,13
112,부산광역시,사상구,14
113,부산광역시,사하구,16
114,부산광역시,서구,9
115,부산광역시,수영구,11
116,부산광역시,연제구,16
117,부산광역시,영도구,3
118,부산광역시,중구,9
119,부산광역시,해운대구,20
120,서울특별시,강남구,41
121,서울특별시,강동구,24
122,서울특별시,강북구,19
123,서울특별시,강서구,43
124,서울특별시,관악구,29
125,서울특별시,광진구,24
126,서울특별시,구로구,30
127,서울특별시,금천구,21
128,서울특별시,노원구,34
129,서울특별시,도봉구,19
130,서울특별시,동대문구,22
131,서울특별시,동작구,20
132,서울특별시,마포구,34
133,서울특별시,서대문구,19
134,서울특별시,서초구,28
135,서울특별시,성동구,24
136,서울특별시,성북구,28
137,서울특별시,송파구,42
138,서울특별시,양천구,23
139,서울특별시,영등포구,34
140,서울특별시,용산구,13
141,서울특별시,은평구,23
142,서울특별시,종로구,31
143,서울특별시,중구,30
144,서울특별시,중랑구,18
145,세종특별자치시,세종특별자치시,14
146,울산광역시,남구,27
147,울산광역시,동구,8
148,울산광역시,북구,18
149,울산광역시,울주군,11
150,울산광역시,중구,15
151,인천광역시,강화군,1
152,인천광역시,계양구,20
153,인천광역시,남구,19
154,인천광역시,남동구,32
155,인천광역시,동구,2
156,인천광역시,부평구,34
157,인천광역시,서구,34
158,인천광역시,연수구,19
159,인천광역시,옹진군,1
160,인천광역시,중구,16
161,전라남도,강진군,1
162,전라남도,고흥군,2
163,전라남도,곡성군,1
164,전라남도,광양시,6
165,전라남도,구례군,1
166,전라남도,나주시,1
167,전라남도,담양군,1
168,전라남도,목포시,11
169,전라남도,무안군,2
170,전라남도,보성군,1
171,전라남도,순천시,14
172,전라남도,신안군,1
173,전라남도,여수시,11
174,전라남도,영광군,1
175,전라남도,영암군,1
176,전라남도,완도군,1
177,전라남도,장성군,1
178,전라남도,장흥군,1
179,전라남도,진도군,1
180,전라남도,함평군,1
181,전라남도,해남군,1
182,전라남도,화순군,1
183,전라북도,고창군,1
184,전라북도,군산시,11
185,전라북도,김제시,4
186,전라북도,남원시,2
187,전라북도,무주군,1
188,전라북도,부안군,3
189,전라북도,순창군,1
190,전라북도,완주군,5
191,전라북도,익산시,11
192,전라북도,임실군,1
193,전라북도,장수군,1
194,전라북도,전주시,46
195,전라북도,정읍시,4
196,전라북도,진안군,1
197,제주특별자치도,서귀포시,7
198,제주특별자치도,제주시,9
199,충청남도,계룡시,1
200,충청남도,공주시,4
201,충청남도,금산군,1
202,충청남도,논산시,3
203,충청남도,당진시,5
204,충청남도,보령시,2
205,충청남도,부여군,1
206,충청남도,서산시,9
207,충청남도,서천군,4
208,충청남도,아산시,10
209,충청남도,예산군,3
210,충청남도,천안시,21
211,충청남도,청양군,1
212,충청남도,태안군,2
213,충청남도,홍성군,2
214,충청북도,괴산군,1
215,충청북도,단양군,1
216,충청북도,보은군,1
217,충청북도,영동군,1
218,충청북도,옥천군,1
219,충청북도,음성군,4
220,충청북도,제천시,6
221,충청북도,증평군,2
222,충청북도,진천군,3
223,충청북도,청주시,39
224,충청북도,충주시,6
