,광역시도,시도,입점수
0,강원도,원주시,1
1,경기도,고양시,7
2,경기도,광명시,1
3,경기도,구리시,1
4,경기도,군포시,1
5,경기도,김포시,2
6,경기도,남양주시,1
7,경기도,부천시,4
8,경기도,성남시,10
9,경기도,수원시,8
10,경기도,안양시,4
11,경기도,용인시,2
12,경기도,이천시,1
13,경기도,파주시,2
14,경기도,평택시,1
15,경기도,하남시,1
16,경기도,화성시,5
17,경상남도,진주시,1
18,경상남도,창원시,2
19,경상북도,경주시,1
20,경상북도,포항시,1
21,광주광역시,서구,1
22,대구광역시,중구,1
23,대전광역시,서구,2
24,부산광역시,기장군,1
25,부산광역시,부산진구,2
26,부산광역시,수영구,1
27,부산광역시,중구,2
28,부산광역시,해운대구,2
29,서울특별시,강남구,12
30,서울특별시,강동구,3
31,서울특별시,강북구,1
32,서울특별시,강서구,3
33,서울특별시,관악구,1
34,서울특별시,광진구,1
35,서울특별시,구로구,1
36,서울특별시,노원구,1
37,서울특별시,동대문구,2
38,서울특별시,마포구,7
39,서울특별시,서대문구,1
40,서울특별시,서초구,8
41,서울특별시,성북구,2
42,서울특별시,송파구,11
43,서울특별시,양천구,1
44,서울특별시,영등포구,3
45,서울특별시,용산구,2
46,서울특별시,은평구,1
47,서울특별시,종로구,5
48,서울특별시,중구,3
49,서울특별시,중랑구,1
50,세종특별자치시,세종로,1
51,울산광역시,남구,2
52,인천광역시,남동구,1
53,인천광역시,부평구,1
54,인천광역시,연수구,2
55,인천광역시,중구,4
56,충청남도,천안시,1
57,충청북도,청주시,2
